Point ID;Time;Hz [dms];V [dms];D [m];PPM Type;PPM;Pressure [mBar];Av Temp [°C];Target Easting [m];Target Northing [m];Target Elevation [m];Station Easting [m];Station Northing [m];Station Height [m];Null Measurement [m];Horz Distance [m]
CND_30002;01/09/2026 14:00;" 289° 14' 45.05991""";"  79° 29' 05.38653""";723.074;Atmos PPM;0;1013.25;11.1012;175417.87;9045868.292;210.932;176089.028;9045633.904;78.939;710.915;710.909
CND_30003;01/09/2026 14:00;" 290° 56' 12.89141""";"  79° 32' 48.72511""";674.096;Atmos PPM;0;1013.25;11.1012;175469.928;9045870.833;201.271;176089.028;9045633.904;78.939;662.894;662.888
CND_30004;01/09/2026 14:00;" 291° 25' 44.00559""";"  79° 53' 00.66676""";637.676;Atmos PPM;0;1013.25;11.1012;175504.699;9045863.297;190.974;176089.028;9045633.904;78.939;627.75;627.743
CND_170_1;01/09/2026 14:00;" 298° 32' 43.07758""";"  79° 40' 28.47661""";508.768;Atmos PPM;0;1013.25;11.1012;175649.375;9045873.114;170.147;176089.028;9045633.904;78.939;500.548;500.516
CND_190_3;01/09/2026 14:00;" 298° 34' 31.08967""";"  78° 59' 19.16912""";594.723;Atmos PPM;0;1013.25;11.1012;175576.403;9045913.166;192.556;176089.028;9045633.904;78.939;583.897;583.757
CND_180_2;01/09/2026 14:01;" 299° 00' 00.41561""";"  79° 34' 29.12112""";553.867;Atmos PPM;0;1013.25;11.1012;175612.638;9045898.025;179.183;176089.028;9045633.904;78.939;544.768;544.709
CND_210_3;01/09/2026 14:01;" 302° 54' 00.10202""";"  78° 03' 50.42103""";629.475;Atmos PPM;0;1013.25;11.1012;175571.98;9045968.46;209.152;176089.028;9045633.904;78.939;616.02;615.846
CND_200_8;01/09/2026 14:01;" 303° 25' 03.05311""";"  78° 15' 54.13098""";598.442;Atmos PPM;0;1013.25;11.1012;175600.003;9045956.63;200.677;176089.028;9045633.904;78.939;586.05;585.916
CND_200_3;01/09/2026 14:01;" 303° 25' 02.25462""";"  78° 15' 56.79391""";598.442;Atmos PPM;0;1013.25;11.1012;175600;9045956.63;200.669;176089.028;9045633.904;78.939;586.052;585.918
CND_190_4;01/09/2026 14:01;" 304° 23' 45.59461""";"  78° 35' 23.37944""";568.32;Atmos PPM;0;1013.25;11.1012;175629.385;9045948.638;191.392;176089.028;9045633.904;78.939;557.187;557.072
CND_200_4;01/09/2026 14:01;" 309° 33' 59.67924""";"  77° 58' 12.99230""";577.866;Atmos PPM;0;1013.25;11.1012;175653.386;9045993.933;199.399;176089.028;9045633.904;78.939;565.267;565.159
CND_1602;01/09/2026 14:01;" 310° 59' 40.80785""";"  79° 10' 46.73469""";381.651;Atmos PPM;0;1013.25;11.1012;175806.118;9045879.83;150.596;176089.028;9045633.904;78.939;394.845;374.857
CND_1505;01/09/2026 14:01;" 310° 59' 43.29165""";"  79° 10' 45.37001""";381.651;Atmos PPM;0;1013.25;11.1012;175806.121;9045879.833;150.599;176089.028;9045633.904;78.939;374.89;374.856
CND_210_4;01/09/2026 14:02;" 311° 21' 24.19443""";"  77° 25' 48.54114""";600.883;Atmos PPM;0;1013.25;11.1012;175648.856;9046021.444;209.733;176089.028;9045633.904;78.939;586.567;586.463
CND_190_5;01/09/2026 14:02;" 312° 12' 19.41605""";"  78° 10' 58.33940""";542.241;Atmos PPM;0;1013.25;11.1012;175695.922;9045990.479;190.003;176089.028;9045633.904;78.939;530.796;530.734
CND_25;01/09/2026 14:02;" 313° 23' 16.48764""";"  82° 24' 42.79639""";237.061;Atmos PPM;0;1013.25;11.1012;175918.277;9045795.335;110.247;176089.028;9045633.904;78.939;235.096;234.981
CND_29;01/09/2026 14:02;" 313° 30' 22.67672""";"  80° 52' 45.58912""";264.294;Atmos PPM;0;1013.25;11.1012;175899.778;9045813.566;120.838;176089.028;9045633.904;78.939;261.111;260.948
CND_200_5;01/09/2026 14:02;" 316° 06' 23.33520""";"  77° 35' 24.48234""";562.271;Atmos PPM;0;1013.25;11.1012;175708.347;9046029.647;199.794;176089.028;9045633.904;78.939;549.185;549.117
CND_1401;01/09/2026 14:02;" 317° 46' 11.93941""";"  79° 41' 09.74415""";345.465;Atmos PPM;0;1013.25;11.1012;175860.616;9045885.585;140.8;176089.028;9045633.904;78.939;340.026;339.875
CND_1603;01/09/2026 14:03;" 320° 45' 22.27309""";"  78° 43' 35.09244""";370.088;Atmos PPM;0;1013.25;11.1012;175859.449;9045915.006;151.298;176089.028;9045633.904;78.939;389.496;362.939
