point_id,seg,tanggal,n_bacaan,d_radial_mm,d_tangensial_mm,d_vertikal_mm
CND_14,0,2026-09-01,5,0.008,-0.0,0.542
CND_14,0,2026-09-02,11,0.057,-0.181,-0.21
CND_1401,0,2026-09-01,5,0.025,0.162,-0.5
CND_1401,0,2026-09-02,12,0.057,-0.298,0.769
CND_1401,0,2026-09-03,12,-0.55,0.075,0.986
CND_1401,0,2026-09-04,12,-0.343,-0.609,0.672
CND_1401,0,2026-09-05,11,-0.309,-0.04,1.575
CND_1401,0,2026-09-06,9,-0.216,-0.535,0.74
CND_1401,0,2026-09-07,5,-0.092,-1.004,-0.971
CND_1401,0,2026-09-08,4,-0.485,-1.001,1.205
CND_1402,0,2026-09-01,5,0.025,-0.66,0.042
CND_1402,0,2026-09-02,12,0.078,-0.327,-0.283
CND_1402,0,2026-09-03,12,-0.164,-0.532,0.914
CND_1402,0,2026-09-04,12,0.195,0.307,0.182
CND_1402,0,2026-09-05,12,0.308,-0.531,0.899
CND_1402,0,2026-09-06,11,0.427,-2.788,-0.904
CND_1402,0,2026-09-07,10,0.217,-1.524,1.354
CND_1402,0,2026-09-08,12,0.183,-1.411,0.622
CND_1402,0,2026-09-09,7,0.281,-0.888,-1.954
CND_1402,0,2026-09-10,7,0.515,-1.848,0.087
CND_1403,1,2026-09-06,7,0.114,0.92,2.241
CND_1403,1,2026-09-07,11,0.558,0.698,1.406
CND_1403,1,2026-09-08,12,0.519,0.384,1.674
CND_1403,1,2026-09-09,12,1.197,-0.488,-1.536
CND_1403,1,2026-09-10,10,0.889,-0.956,-1.819
CND_1403,1,2026-09-11,10,1.026,-0.426,-3.051
CND_1503,0,2026-09-01,5,-0.068,-0.208,0.083
CND_1503,0,2026-09-02,12,-0.069,-0.593,0.166
CND_1503,0,2026-09-03,12,0.095,0.24,0.414
CND_1503,0,2026-09-04,12,0.264,-0.126,-0.338
CND_1503,0,2026-09-05,12,0.008,-0.368,-1.007
CND_1503,0,2026-09-06,11,-0.233,-0.037,0.199
CND_1503,0,2026-09-07,11,-0.206,-0.45,0.53
CND_1503,0,2026-09-08,12,-0.222,-0.845,0.685
CND_1503,0,2026-09-09,9,-0.597,-0.095,-1.098
CND_1503,0,2026-09-10,12,-0.722,0.254,0.149
CND_1503,0,2026-09-11,9,-0.804,-1.273,0.335
CND_1504,0,2026-09-01,5,0.036,-0.0,0.062
CND_1504,0,2026-09-02,12,0.179,-0.432,-0.293
CND_1504,0,2026-09-03,12,0.164,-0.87,-0.566
CND_1504,0,2026-09-04,12,0.297,-1.852,-0.39
CND_1504,0,2026-09-05,12,0.563,-1.5,-1.508
CND_1504,0,2026-09-06,11,-0.146,-1.978,-0.698
CND_1504,0,2026-09-07,11,0.182,-1.379,-2.471
CND_1504,0,2026-09-08,12,0.181,-1.871,-1.388
CND_1504,0,2026-09-09,11,-0.105,-2.952,-1.954
CND_1504,0,2026-09-10,12,-0.18,-1.93,-1.82
CND_1504,0,2026-09-11,9,-0.445,-3.33,-1.458
CND_1505,0,2026-09-01,5,0.027,-0.576,0.041
CND_1505,0,2026-09-02,12,0.204,0.402,0.114
CND_1505,0,2026-09-03,12,0.003,0.727,1.362
CND_1505,0,2026-09-04,12,0.274,0.601,0.734
CND_1505,0,2026-09-05,12,0.025,0.846,0.44
CND_1505,0,2026-09-06,11,-0.153,0.259,1.302
CND_1505,0,2026-09-07,11,-0.232,0.12,2.405
CND_1505,0,2026-09-08,12,-0.423,0.425,1.184
CND_1505,0,2026-09-09,12,-0.264,-0.187,-0.965
CND_1505,0,2026-09-10,12,-0.536,0.038,0.628
CND_1505,0,2026-09-11,12,-1.02,1.014,0.511
CND_1505,0,2026-09-12,9,1.521,6.088,-10.231
CND_1505,0,2026-09-13,6,1.243,5.365,-10.117
CND_1602,0,2026-09-01,5,0.018,-0.0,0.021
CND_1602,0,2026-09-02,5,-0.7,-0.052,1.124
CND_1602,1,2026-09-02,6,0.48,-1.706,0.3
CND_1602,1,2026-09-03,12,-0.002,-1.819,0.924
CND_1602,1,2026-09-04,12,-0.184,-2.263,-0.215
CND_1602,1,2026-09-05,7,0.359,-3.728,0.91
CND_1602,1,2026-09-06,7,-1.292,-3.269,2.24
