point_id,seg,waktu,cycle,d_rad,d_tan,dZ,d_rad_c,d_tan_c,dZ_c,jarak_m
CND_14,0,2026-09-01 14:07,0,0.734,2.909,-8.5,0.734,2.412,-8.499,155.235
CND_14,0,2026-09-01 16:06,1,0.0,-0.0,-0.5,0.004,-0.363,-0.478,155.235
CND_14,0,2026-09-01 18:06,2,0.0,-0.0,0.5,0.008,-0.0,0.542,155.235
CND_14,0,2026-09-01 20:06,3,0.0,-0.0,0.5,0.012,0.164,0.563,155.235
CND_14,0,2026-09-01 22:06,4,-0.245,-0.97,0.5,-0.229,-0.895,0.584,155.235
CND_14,0,2026-09-02 00:06,5,0.725,-1.214,-0.5,0.744,-1.214,-0.396,155.235
CND_14,0,2026-09-02 02:06,6,0.0,-0.0,1.5,0.023,-0.0,1.625,155.235
CND_14,0,2026-09-02 04:06,7,0.0,-0.0,0.5,0.027,-0.253,0.646,155.235
CND_14,0,2026-09-02 06:06,8,0.725,-1.214,0.5,0.755,-1.411,0.666,155.235
CND_14,0,2026-09-02 08:06,9,0.48,-2.184,-0.5,0.514,-0.181,-0.313,155.235
CND_14,0,2026-09-02 10:07,10,0.0,-0.0,-3.5,0.038,0.31,-3.292,155.235
CND_14,0,2026-09-02 12:07,11,0.979,3.878,-9.5,1.021,1.14,-9.272,155.235
CND_14,0,2026-09-02 14:06,12,0.734,2.909,-4.5,0.78,0.17,-4.251,155.235
CND_14,0,2026-09-02 16:06,13,-0.235,3.154,0.5,-0.186,0.86,0.77,155.235
CND_14,0,2026-09-02 18:05,14,0.0,-0.0,-0.5,0.053,-0.277,-0.21,155.235
CND_14,0,2026-09-02 20:06,15,0.0,-0.0,-0.5,0.057,-0.266,-0.189,155.235
CND_1401,0,2026-09-01 14:02,0,0.068,-1.413,-0.5,0.069,-2.501,-0.5,339.875
CND_1401,0,2026-09-01 16:02,1,-0.068,1.413,-1.5,-0.06,0.617,-1.479,339.875
CND_1401,0,2026-09-01 18:02,2,0.0,-0.0,0.5,0.017,-0.0,0.542,339.875
CND_1401,0,2026-09-01 20:02,3,0.0,-0.0,-1.5,0.025,0.359,-1.438,339.875
CND_1401,0,2026-09-01 22:02,4,0.0,-0.0,0.5,0.033,0.162,0.583,339.875
CND_1401,0,2026-09-02 00:02,5,0.068,-1.413,0.5,0.11,-1.413,0.604,339.875
CND_1401,0,2026-09-02 02:02,6,0.0,-0.0,1.5,0.05,-0.0,1.624,339.875
CND_1401,0,2026-09-02 04:02,7,0.0,-0.0,1.5,0.058,-0.553,1.645,339.875
CND_1401,0,2026-09-02 06:02,8,-0.068,1.413,1.5,-0.002,0.982,1.666,339.875
CND_1401,0,2026-09-02 08:02,9,-0.467,-4.978,3.5,-0.392,-0.593,3.686,339.875
CND_1401,0,2026-09-02 10:03,10,0.068,-1.413,-2.5,0.152,-0.734,-2.293,339.875
CND_1401,0,2026-09-02 12:02,11,-0.205,4.238,0.5,-0.114,-1.758,0.728,339.875
CND_1401,0,2026-09-02 14:02,12,0.33,7.803,-4.5,0.429,1.807,-4.252,339.875
CND_1401,0,2026-09-02 16:02,13,0.467,4.978,-3.5,0.575,-0.043,-3.231,339.875
CND_1401,0,2026-09-02 18:02,14,0.0,-0.0,-1.5,0.116,-0.607,-1.21,339.875
CND_1401,0,2026-09-02 20:02,15,-0.068,1.413,0.5,0.056,0.829,0.81,339.875
CND_1401,0,2026-09-02 22:02,16,-0.809,2.085,1.5,-0.676,1.134,1.831,339.875
CND_1401,0,2026-09-03 00:02,17,-0.068,1.413,0.5,0.073,0.084,0.852,339.875
CND_1401,0,2026-09-03 02:02,18,-0.809,2.085,1.5,-0.66,0.588,1.872,339.875
CND_1401,0,2026-09-03 04:02,19,-0.068,1.413,0.5,0.089,0.02,0.893,339.875
CND_1401,0,2026-09-03 06:02,20,-0.741,0.672,4.5,-0.575,1.473,4.914,339.875
CND_1401,0,2026-09-03 08:02,21,-1.276,-2.894,3.5,-1.101,1.383,3.934,339.875
CND_1401,0,2026-09-03 10:03,22,0.137,-2.825,-2.5,0.319,-1.667,-2.045,339.875
CND_1401,0,2026-09-03 12:02,23,-1.207,-4.306,1.5,-1.016,-8.678,1.976,339.875
CND_1401,0,2026-09-03 14:02,24,-1.014,6.322,-0.5,-0.815,0.067,-0.004,339.875
CND_1401,0,2026-09-03 16:02,25,-1.481,1.344,2.5,-1.274,-1.954,3.017,339.875
CND_1401,0,2026-09-03 18:02,26,-0.741,0.672,-1.5,-0.525,0.539,-0.962,339.875
CND_1401,0,2026-09-03 20:02,27,-0.672,-0.741,-1.5,-0.448,-0.664,-0.942,339.875
CND_1401,0,2026-09-03 22:02,28,-0.741,0.672,0.5,-0.508,0.672,1.079,339.875
CND_1401,0,2026-09-04 00:02,29,-0.809,2.085,0.5,-0.568,1.799,1.1,339.875
CND_1401,0,2026-09-04 02:02,30,-0.672,-0.741,-1.5,-0.423,-0.986,-0.88,339.875
CND_1401,0,2026-09-04 04:02,31,-0.809,2.085,0.5,-0.552,1.349,1.141,339.875
CND_1401,0,2026-09-04 06:02,32,-0.604,-2.153,1.5,-0.338,-0.477,2.162,339.875
CND_1401,0,2026-09-04 08:02,33,-0.535,-3.566,-0.5,-0.261,-0.888,0.182,339.875
CND_1401,0,2026-09-04 10:02,34,-0.604,-2.153,-3.5,-0.322,-0.741,-2.797,339.875
CND_1401,0,2026-09-04 12:03,35,-0.137,2.825,-2.5,0.153,-1.834,-1.776,339.875
CND_1401,0,2026-09-04 14:02,36,-0.877,3.497,-0.5,-0.579,-1.594,0.244,339.875
CND_1401,0,2026-09-04 16:02,37,-1.686,5.582,0.5,-1.38,-1.041,1.265,339.875
CND_1401,0,2026-09-04 18:02,38,-0.068,1.413,-1.5,0.247,1.671,-0.715,339.875
CND_1401,0,2026-09-04 20:02,39,-0.672,-0.741,0.5,-0.349,-0.219,1.306,339.875
CND_1401,0,2026-09-04 22:02,40,0.0,-0.0,0.5,0.332,0.204,1.327,339.875
CND_1401,0,2026-09-05 00:02,41,-1.413,-0.068,4.5,-1.073,-0.537,5.347,339.875
CND_1401,0,2026-09-05 02:02,42,-1.481,1.344,3.5,-1.133,1.327,4.368,339.875
CND_1401,0,2026-09-05 04:02,43,-0.809,2.085,3.5,-0.452,1.915,4.389,339.875
CND_1401,0,2026-09-05 06:02,44,-0.604,-2.153,1.5,-0.239,0.844,2.409,339.875
CND_1401,0,2026-09-05 08:03,45,-0.933,-9.956,1.5,-0.56,-3.684,2.43,339.875
CND_1401,0,2026-09-05 10:02,46,0.685,-14.126,-7.5,1.066,-11.836,-6.549,339.875
CND_1401,0,2026-09-05 12:02,47,-0.741,0.672,-1.5,-0.351,-2.713,-0.529,339.875
