kunci,point_id,seg,segmen_terakhir,kelas,skor_prioritas,status_data,easting,northing,rl,jarak_stasiun_m,az_los_deg,dip_lokal_deg,dipdir_lokal_deg,dev_los,proj_los,n_obs,n_hari,cakupan,tgl_awal,tgl_akhir,jam_sejak_akhir,d_turunlereng_mm,d_vertikal_mm,d_total_3d_mm,rasio_HV,plunge_deg,v_turunlereng_mmhari,v_vertikal_mmhari,v_ci95_mmhari,v_paruh1_mmhari,v_paruh2_mmhari,delta_v_mmhari,rezim,changepoint,changepoint_skor,inverse_velocity,t_turunlereng,t_vertikal,koherensi_tetangga,sigma_radial_mm,sigma_tangensial_mm,sigma_vertikal_mm,sd_harian_rad_mm,sd_harian_vert_mm,gerak_sejak_pasang_mm,tarp,catatan
CND_210_5#0,CND_210_5,0,True,P1-PRIORITAS,81.4878,TERPUTUS_BARU,175727.4925,9046077.8995,210.9165,572.5731,320.8449,21.1594,146.7704,-5.9255,0.9947,124,11,1.0,2026-09-01 14:03,2026-09-12 00:03,34.0,7.2382,-8.6549,11.2827,0.8363,-50.0936,0.7238,-0.972,0.109,0.4302,0.7804,0.3502,progresif,,0.0,dapat_dihitung_tinjau_manual,11.7073,-5.0772,0.9957,0.7779,3.0014,2.4951,0.4348,1.2054,-77.0,belum_dikonfigurasi,tidak terukur 12-48 jam terakhir
CND_210_3#0,CND_210_3,0,True,P1-PRIORITAS,73.7612,AKTIF,175571.98,9045968.4585,209.157,615.8452,302.9048,20.4723,143.7893,-20.8845,0.9343,135,13,1.0,2026-09-01 14:01,2026-09-13 10:01,0.0333,13.4155,-4.2107,14.0608,3.186,-17.4256,1.1456,-0.6551,0.078,1.1987,1.2489,0.0502,linier,,0.06,tidak_berlaku,24.0927,-1.7127,0.9976,0.9865,3.4606,3.6298,0.3679,1.7384,-189.0,belum_dikonfigurasi,
CND_210_4#0,CND_210_4,0,True,P1-PRIORITAS,70.8478,AKTIF,175648.8565,9046021.443,209.7395,586.4618,311.3616,20.692,144.8039,-13.4424,0.9726,139,13,1.0,2026-09-01 14:02,2026-09-13 10:02,0.0167,12.0553,-6.6176,13.7522,1.8217,-28.764,1.0277,-0.8281,0.0527,0.977,1.0094,0.0324,linier,,0.22,tidak_berlaku,37.4919,-3.5377,0.997,0.6652,3.0725,2.9239,0.2211,1.3227,-120.0,belum_dikonfigurasi,
CND_210_6#0,CND_210_6,0,True,P1-PRIORITAS,70.0095,TERPUTUS_BARU,175793.462,9046117.787,210.815,567.0115,328.5825,21.4489,147.6998,0.8827,0.9999,124,11,1.0,2026-09-01 14:04,2026-09-12 00:03,34.0,4.3196,-7.1135,8.3223,0.6072,-58.7319,0.5094,-0.6901,0.1145,0.1077,0.5031,0.3954,progresif,,0.0,dapat_dihitung_tinjau_manual,6.5128,-4.0145,0.9848,0.9042,2.2463,3.0476,0.4689,1.2529,-52.0,belum_dikonfigurasi,tidak terukur 12-48 jam terakhir
CND_200_8#0,CND_200_8,0,True,P1-PRIORITAS,69.2701,AKTIF,175600.0045,9045956.631,200.683,585.9153,303.4225,20.4723,143.7893,-20.3668,0.9375,141,13,1.0,2026-09-01 14:01,2026-09-13 10:01,0.0333,11.8283,-5.1384,12.8962,2.3019,-23.481,0.9853,-0.8068,0.0368,0.9974,1.0455,0.0481,linier,,0.0,tidak_berlaku,36.8288,-2.1543,0.9979,0.5815,2.7205,3.132,0.2129,1.6866,-148.0,belum_dikonfigurasi,duplikat_target: 1.118 mm
CND_200_6#0,CND_200_6,0,True,P1-PRIORITAS,68.6764,TERPUTUS_BARU,175781.116,9046077.853,199.573,540.2782,325.2558,21.1463,146.7831,-1.5274,0.9996,122,11,1.0,2026-09-01 14:04,2026-09-11 22:03,36.0,4.789,-6.0,7.6769,0.7982,-51.4043,0.4518,-0.6283,0.1061,0.2771,0.6042,0.327,progresif,,0.0,tidak_berlaku,9.4161,-3.8068,0.9777,0.7457,2.2209,2.2244,0.3595,1.1145,-53.0,belum_dikonfigurasi,tidak terukur 12-48 jam terakhir
CND_200_4#0,CND_200_4,0,True,P1-PRIORITAS,67.2735,AKTIF,175653.3925,9045993.939,199.4065,565.1579,309.5723,20.692,144.8039,-15.2316,0.9649,141,13,1.0,2026-09-01 14:01,2026-09-13 10:02,0.0167,11.3811,-6.6694,13.1913,1.7065,-30.3707,1.0452,-0.4956,0.0832,1.1132,0.9488,-0.1644,regresif,,0.0,tidak_berlaku,17.65,-3.0927,0.9959,0.7622,2.2739,3.0476,0.4399,1.5249,-121.0,belum_dikonfigurasi,
CND_200_5#0,CND_200_5,0,True,P1-PRIORITAS,65.4015,AKTIF,175708.348,9046029.648,199.7935,549.118,316.1115,20.8787,146.4894,-10.3779,0.9836,139,13,1.0,2026-09-01 14:02,2026-09-13 10:03,0.0,6.544,-13.1383,14.6779,0.4981,-63.5227,0.555,-1.0476,0.0495,0.5485,0.5356,-0.0128,linier,,0.0,tidak_berlaku,11.0556,-6.6258,0.937,0.755,3.026,2.5459,0.4117,1.4021,-72.0,belum_dikonfigurasi,
CND_190_5#0,CND_190_5,0,True,P1-PRIORITAS,65.1426,AKTIF,175695.923,9045990.476,190.021,530.7308,312.2101,20.6646,146.0174,-13.8073,0.9711,141,13,1.0,2026-09-01 14:02,2026-09-13 10:02,0.0167,8.6618,-3.5971,9.379,2.408,-22.5524,0.7146,-0.2528,0.0649,0.6249,0.815,0.1902,progresif,2026-09-07 00:00,0.4,dapat_dihitung_tinjau_manual,20.2846,-2.6667,0.9913,0.8511,2.1782,2.3983,0.2932,0.9538,-76.0,belum_dikonfigurasi,
CND_200_3#0,CND_200_3,0,True,P1-PRIORITAS,64.8423,AKTIF,175600.004,9045956.63,200.683,585.9151,303.4224,20.4723,143.7893,-20.3669,0.9375,141,13,1.0,2026-09-01 14:01,2026-09-13 10:01,0.0333,11.6721,-5.1488,12.7572,2.267,-23.8032,0.9972,-0.7572,0.05,1.0066,0.9506,-0.056,linier,,0.16,tidak_berlaku,31.5646,-2.181,0.9973,0.8342,3.411,3.8188,0.2451,1.6693,-150.0,belum_dikonfigurasi,duplikat_target: 1.118 mm
